qty shs qs bs 
1 4e-06 2e-06 2e-06 
2 3e-06 3e-06 4e-06 
3 4e-06 5e-06 1.2e-05 
4 6e-06 7e-06 2.7e-05 
5 9e-06 1e-05 5.9e-05 
6 1.6e-05 1.5e-05 0.000113 
7 2.1e-05 2.1e-05 0.000202 
8 3.3e-05 2.5e-05 0.000296 
9 3.9e-05 3.2e-05 0.000494 
10 4.8e-05 4.1e-05 0.000696 
11 7.1e-05 5.4e-05 0.001048 
12 8.2e-05 6.9e-05 0.001576 
13 9.8e-05 7.8e-05 0.001882 
14 0.00011 8.6e-05 0.002374 
15 0.000146 9.7e-05 0.003144 
16 0.000152 0.000109 0.003842 
17 0.000175 0.000118 0.004133 
18 0.000168 0.00013 0.005442 
19 0.000225 0.000152 0.006793 
20 0.000237 0.000115 0.007716 
21 0.000288 0.000135 0.00826 
22 0.000331 0.000216 0.012333 
23 0.000358 0.000217 0.014147 
24 0.000385 0.000241 0.013169 
25 0.0003 0.000191 0.017532 
26 0.000443 0.000299 0.022514 
27 0.000484 0.000298 0.026382 
28 0.000571 0.000347 0.030475 
29 0.000607 0.000376 0.035524 
30 0.000616 0.000398 0.025561 
31 0.000478 0.000271 0.027927 
32 0.000508 0.000292 0.031457 
33 0.000508 0.000308 0.035612 
34 0.000536 0.000335 0.039817 
35 0.000597 0.000344 0.044774 
36 0.000698 0.000382 0.050411 
37 0.000828 0.000389 0.056082 
38 0.000882 0.00047 0.062348 
39 0.000746 0.000439 0.07016 
40 0.000809 0.000457 0.075958 
41 0.000944 0.000518 0.083729 
42 0.001161 0.000531 0.092345 
43 0.001398 0.000539 0.105097 
44 0.001188 0.000579 0.111545 
45 0.001275 0.000673 0.129804 
46 0.001181 0.000639 0.131965 
47 0.001161 0.000654 0.143727 
48 0.001298 0.000694 0.156597 
49 0.001371 0.000732 0.170334 
50 0.001482 0.000758 0.183794 
51 0.001552 0.000796 0.199348 
52 0.001483 0.000872 0.276539 
53 0.001736 0.00085 0.286746 
54 0.001882 0.000962 0.37779 
55 0.00269 0.001416 0.329366 
56 0.002174 0.001161 0.383419 
57 0.00292 0.001596 0.476532 
58 0.003191 0.001617 0.420923 
59 0.002383 0.001424 0.394744 
60 0.002216 0.001114 0.414085 
61 0.002205 0.001167 0.412074 
62 0.003154 0.001518 0.512159 
63 0.002701 0.001248 0.466168 
64 0.002712 0.00129 0.495337 
65 0.002859 0.001337 0.578519 
66 0.002771 0.001493 0.560543 
67 0.002877 0.001519 0.748749 
68 0.002967 0.001499 0.670164 
69 0.003334 0.001613 0.692025 
70 0.003315 0.00156 0.708434 
71 0.003558 0.002097 0.927759 
